[ 2017-03-29T14:01:49+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | INFO: Tag[ route_check ] --START--
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: sort1 Form.php 第 1182 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: sort1_t Form.php 第 1183 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: sort2 Form.php 第 1184 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: sort2_t Form.php 第 1185 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: sort3 Form.php 第 1186 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: sort3_t Form.php 第 1187 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: sortSql Form.php 第 1194 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search1 Form.php 第 1222 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search1_s Form.php 第 1223 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search1_t Form.php 第 1224 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search1_t_type Form.php 第 1225 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search1_t_select Form.php 第 1226 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search2 Form.php 第 1228 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search2_s Form.php 第 1229 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search2_t Form.php 第 1230 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search2_t_type Form.php 第 1231 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search2_t_select Form.php 第 1232 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search3 Form.php 第 1234 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search3_s Form.php 第 1235 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search3_t Form.php 第 1236 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search3_t_type Form.php 第 1237 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search3_t_select Form.php 第 1238 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search4 Form.php 第 1240 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search4_s Form.php 第 1241 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search4_t Form.php 第 1242 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search4_t_type Form.php 第 1243 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search4_t_select Form.php 第 1244 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search5 Form.php 第 1246 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search5_s Form.php 第 1247 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search5_t Form.php 第 1248 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search5_t_type Form.php 第 1249 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: search5_t_select Form.php 第 1250 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL: select count(*) as NUMS from  FORMLIST   where 1=1 and FORMNO='75'   [ RunTime:0.000000s ]
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: page Form.php 第 917 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: page Form.php 第 917 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: pageSize Form.php 第 918 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: pageSize Form.php 第 918 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: Selected10 Form.php 第 1436 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: Selected30 Form.php 第 1436 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: Selected100 Form.php 第 1436 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: Selected150 Form.php 第 1436 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | SQL:  SELECT * FROM
		(
			SELECT A.*, rownum r
			FROM
			( select FORMNO,FIELDNAME,FIELDMEANS,LINENO,COLNO,GRIDVISIBLE,SORT,FIELDLENGTH,DEFAULTVALUE,GRIDQUEUE,READONLY,FORMVISIBLE,FIELDTYPE,EDITTYPE,ALIGN,NOTNULL from  FORMLIST   where 1=1 and FORMNO='75'  order by FIELDNAME desc) A
			WHERE rownum <= 20
		 ) B
		WHERE r > 0 [ RunTime:0.000000s ]
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: trs Form.php 第 940 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index:  Form.php 第 964 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FormeditType Field.php 第 126 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 184 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: houzui Field.php 第 191 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 199 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 218 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index:  Form.php 第 964 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FormeditType Field.php 第 126 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 184 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: houzui Field.php 第 191 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 199 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 211 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index:  Form.php 第 964 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FormeditType Field.php 第 126 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 184 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: houzui Field.php 第 191 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 199 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 211 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index:  Form.php 第 964 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FormeditType Field.php 第 126 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 184 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: houzui Field.php 第 191 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 199 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 218 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index:  Form.php 第 964 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FormeditType Field.php 第 126 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 184 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: houzui Field.php 第 191 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: FORMTYPE Field.php 第 199 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined variable: CHKADD Field.php 第 218 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index:  Form.php 第 964 行.
[ 2017-03-29T14:01:50+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/FormSet/Field&add=0&FORMNO=62&FORMID=75 | NOTIC: [8] Undefined index: attr Field.php 第 102 行.
