[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Tag[ route_check ] --START--
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Run ParseTemplate Behavior [ RunTime:0.026002s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.027002s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Tag[ view_filter ] --START--
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Tag[ view_end ] --START--
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/verify | INFO: Tag[ route_check ] --START--
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/verify | INFO: Tag[ app_begin ] --START--
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-29T08:52:24+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | INFO: Tag[ route_check ] --START--
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_CITY') b where table_name='ERP_CITY' and a.column_name=b.column_name(+) [ RunTime:0.001000s ]
[ 2017-03-29T08:52:26+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
