[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined variable: lastFilter 3a3eae71e8ec4c6d2c4ec1e35a493092.php 第 60 行.
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run ParseTemplate Behavior [ RunTime:0.016000s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016000s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_filter ] --START--
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004001s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_end ] --START--
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2017-03-28T15:11:39+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ route_check ] --START--
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ app_begin ] --START--
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_CITY') b where table_name='ERP_CITY' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_city WHERE ISVALID=-1 AND ID = 114) thinkphp )  WHERE (numrow>0 AND numrow<=1) [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 699 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: SELECT * FROM (SELECT thinkphp.*, rownum AS numrow FROM (SELECT   * FROM erp_city WHERE ISVALID=-1) thinkphp )  [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [2] Missing argument 1 for Form::__construct(), called in D:\wamp64\www\branches\oms-2.7.0\adminpack\Lib\Action\Admin\PurchasingAction.class.php on line 537 and defined Form.php 第 136 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Use of undefined constant Field - assumed 'Field' Form.php 第 142 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: childrenformno Form.php 第 531 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: select * from FORM  where FORMNO=181 [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: select * from FORMLIST where FORMNO =181 order by GRIDQUEUE ASC [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: select a.column_name,data_type,decode(nullable,'Y',0,1) notnull,data_default,decode(a.column_name,b.column_name,1,0) pk from user_tab_columns a,(select column_name from user_constraints c,user_cons_columns col where c.constraint_name=col.constraint_name and c.constraint_type='P'and c.table_name='ERP_WAREHOUSE_USE_DETAILS') b where table_name='ERP_WAREHOUSE_USE_DETAILS' and a.column_name=b.column_name(+) [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 660 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 662 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 664 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 666 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 669 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 671 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 673 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 675 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: faction Form.php 第 677 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: showForm Form.php 第 681 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: sort1 Form.php 第 1182 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: sort1_t Form.php 第 1183 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: sort2 Form.php 第 1184 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: sort2_t Form.php 第 1185 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: sort3 Form.php 第 1186 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: sort3_t Form.php 第 1187 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined variable: sortSql Form.php 第 1194 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search1 Form.php 第 1222 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search1_s Form.php 第 1223 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search1_t Form.php 第 1224 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search1_t_type Form.php 第 1225 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search1_t_select Form.php 第 1226 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search2 Form.php 第 1228 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search2_s Form.php 第 1229 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search2_t Form.php 第 1230 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search2_t_type Form.php 第 1231 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search2_t_select Form.php 第 1232 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search3 Form.php 第 1234 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search3_s Form.php 第 1235 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search3_t Form.php 第 1236 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search3_t_type Form.php 第 1237 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search3_t_select Form.php 第 1238 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search4 Form.php 第 1240 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search4_s Form.php 第 1241 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search4_t Form.php 第 1242 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search4_t_type Form.php 第 1243 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search4_t_select Form.php 第 1244 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search5 Form.php 第 1246 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search5_s Form.php 第 1247 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search5_t Form.php 第 1248 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search5_t_type Form.php 第 1249 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: search5_t_select Form.php 第 1250 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: select count(*) as NUMS from  ERP_WAREHOUSE_USE_DETAILS   where 1=1 and PL_ID = '15003'   [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: page Form.php 第 917 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: page Form.php 第 917 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: pageSize Form.php 第 918 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined index: pageSize Form.php 第 918 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined variable: Selected10 Form.php 第 1436 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined variable: Selected30 Form.php 第 1436 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined variable: Selected100 Form.php 第 1436 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined variable: Selected150 Form.php 第 1436 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL:  SELECT * FROM
		(
			SELECT A.*, rownum r
			FROM
			( select ID,PL_ID,WH_ID,USE_NUM,USE_PRICE,to_char(USE_TIME,'YYYY-MM-DD') as USE_TIME,TYPE from  ERP_WAREHOUSE_USE_DETAILS   where 1=1 and PL_ID = '15003'  order by ID desc) A
			WHERE rownum <= 20
		 ) B
		WHERE r > 0 [ RunTime:0.001000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8] Undefined variable: trs Form.php 第 1071 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | SQL: select FORMNO, FORMTITLE from  FORM  where PARENTID= 181  [ RunTime:0.000000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_template ] --START--
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | INFO: Tag[ view_parse ] --START--
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-03-28T15:11:40+08:00 ] /branches/oms-2.7.0/adminpack/index.php?s=/Purchasing/use_detail_list&parentchooseid=15003 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
